,defi_service,address
0,railgun,0xee6a649aa3766bd117e12c161726b693a1b2ee20
1,railgun,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9
44,alpacacity,0x741cee6e4bd99df866ab0dd0d0c0b5ed7033344a
45,alpacacity,0x217a7d0ac6573b0f013e12f92b6d5b250fa15d97
48,finnexus,0xff60d81287bf425f7b2838a61274e926440ddaa6
50,finnexus,0x6f88e8fbf5311ab47527f4fb5ec10078ec30ab10
76,umbria,0xdf9401225cc62d474c559e9c4558fb193137bceb
90,chainlink,0xbc10f2e862ed4502144c7d632a3459f49dfcdb5e
91,chainlink,0xa1d76a7ca72128541e9fcacafbda3a92ef94fdc5
92,chainlink,0x3feb1e09b4bb0e7f0387cee092a52e85797ab889
93,phission-finance,0x5b38a73f9db3f5e12bb4dcb5a434fb3bd3972e53
94,phission-finance,0x569a157eac744b87a42314e8fc03a2e648ea33a2
102,opendao,0x92702dccd53022831edd3fcbfeabbba31bc29bb6
103,opendao,0x172e45e4527484ea184f017898102d5e0e94dc88
104,opendao,0xb8a177d29417ee325953ec388ba2dbd77b02ddf4
105,opendao,0x378319c0cdc4dcc09800154a47ef9ee7dae044b8
106,opendao,0xeed6e3f11ba173b82bb913cac943c0ef290a734a
107,opendao,0x0ed995cb847185ac3cfde9d1b8e8f57ab54a7247
254,opendao,0x22a11c7edc420726ac3fa98e6cf57804ebf4dc33
257,opendao,0x788aaec01654f6ee829d1ae6449624441ba623e8
260,opendao,0x35cd9629d3d0916607e0c9bc975baa42ee4a5cb7
263,opendao,0xde2f7502deeb071c848938f70631116c3886cb8c
266,opendao,0xb30e7a50d30f5ea6f99122eb98b59bd9cb06fa7c
269,opendao,0xb6d96c2f895c74526a4ec112b16756a3c0195625
272,opendao,0x8ce85f273e84f3a4f3096263c33d54135342d172
275,opendao,0x123b4f9dd98bd0b0574bccbfad51d2d387c1aaf1
278,opendao,0x30dc52dae36478e4c027a6cb486e913f1ee5b555
281,robinhood,0x6081258689a75d253d87ce902a8de3887239fe80
282,robinhood,0x40b38765696e3d5d8d9d834d8aad4bb6e418e489
463,dyad,0xdc400bbe0b8b79c07a962ea99a642f5819e3b712
464,dyad,0xcf97cec1907ccf9d4a0dc4f492a3448efc744f6c
465,ovr,0xc947fa28527a06cee53614e1b77620c1b7d3a75d
466,ovr,0xca0f390c044fd43b1f38b9d2a02e06b13b65fa48
467,ovr,0xcee8fcbc9676a08b0a048180d99b41a7f080bb78
468,ovr,0xe6984300afd314a2f49a5869e773883cdfae49c2
469,timeswap-v2,0x7f493bdd5bb5116e01a0f27590d3311dc2a223bb
471,timeswap-v2,0xbfc1633213856da811d6049cd969ff11e7b55c68
473,timeswap-v2,0xfa0a3cf986197cf2b691459c2194f2fb1cec2dba
475,timeswap-v2,0x70a1fdb01f04fa59e7fd5d1b4eb3064b2aa1cd0f
477,timeswap-v2,0x456d8d6dfa309284859909e387d2e51883a69f68
479,timeswap-v2,0xdf6afaa61ebf566dd8d7b0c0d5128a5c3a15ed9d
481,timeswap-v2,0x139a74370c195599598422fe26434da18049f992
483,timeswap-v2,0x5ee6b7bb883c565e3e46570d53edc67f35370cc3
485,timeswap-v2,0x4663733fa522e3c7ee82622bf83874b1f503e734
487,timeswap-v2,0x4340761ac992b5538a9c9f29385772849f7a2db0
489,purefi,0xafab7848aab0f9eef9f9e29a83bdbbbdde02ece5
599,thetanuts,0x9014f8e90423766343ed4fe41668563526df6715
600,thetanuts,0x6d2cdb589be6037df1aea5dc433829ad5af30013
601,thetanuts,0x60a4422b6b52aef50647c67f29d6a7e6dac3ccbc
602,thetanuts,0x49d8cde90cefdd4f8568f7d895e686fdb76b146e
603,thetanuts,0xc2dd9c7f526c7465d14bbbb25991dab35f8ea2b4
604,thetanuts,0xb8b5a6e1f300b023e9cdca31aa94b0d66badd982
605,thetanuts,0x4ca3e8bd2f471415b9131e35bdcec0819a4e7a83
606,thetanuts,0x9f639524db6dfd57613895b0abb49a53c11b3f0e
607,thetanuts,0x3567e2a6e161f3623307aa4e59ceab6deff6291f
608,thetanuts,0x3ba337f3167ea35910e6979d5bc3b0aee60e7d59
609,thetanuts,0xe1c93de547cc85cbd568295f6cc322b1dbbcf8ae
610,thetanuts,0x248038fdb6f00f4b636812ca6a7f06b81a195ab8
611,thetanuts,0x182e7dad39c8412ce1258b01f1a25afdc6c2294d
612,thetanuts,0xb466a23c77df358b8b1e86514411c5fe0d613896
613,thetanuts,0xad57221ae9897da08656aaabd5b1d4673d4ede71
614,thetanuts,0xe5e8caa04c4b9e1c9bd944a2a78a48b05c3ef3af
615,thetanuts,0xcb317b4b7cb45ef6d5aa4e43171d16760dfe5eea
616,thetanuts,0x71f5d6fa67c2c9d2b76246569093390d02f80678
617,thetanuts,0xb2d3102944dec6c4d7b0d87ca9de6eb13b70c11e
618,thetanuts,0xb1105529305f166531b7d857b1d6f28000278aff
619,gravity-bridge,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906
1028,asgardfinance,0x4ea2bb6df87f66cbea70818ae92f3a48f98ebc93
1029,asgardfinance,0x9d5818af130705f95444d78a55b4f3d85cbfcc13
1433,buttonwood-tranche,0x1ed8b3b19fb317de5c7d0f3e80256f60368ec210
1434,buttonwood-tranche,0x58fb05db25503afbba2b4bd23a998480f7c9d92c
1435,buttonwood-tranche,0x0e58af72c1688b56257eb2de4bb2edd7fbcdd00f
1436,buttonwood-tranche,0x365552421b0320dc72b324c49e8920e5a3159807
1437,buttonwood-tranche,0xfc65be46b6f7afba6eb307bfdc8354b72cf0bbb9
1438,buttonwood-tranche,0x31b3759205655daa4058f3f4786debc44967a9ee
1439,buttonwood-tranche,0xef592e4f6e8e255f12634becb4636da5144052e3
1440,buttonwood-tranche,0x370cbf2726abfdb3a0c4af5d6a0f65926ad91e59
1441,buttonwood-tranche,0x47bd31b271c3090e21518c67d30ecf1541be16a3
1442,buttonwood-tranche,0x3e7a000167fc467f628130741e8ac5f2fabc9c20
1443,buttonwood-tranche,0x24ad643efaa614ce7cae033b55e6d815efcf3218
1444,buttonwood-tranche,0xea772937f3684bf199d19cfe2829662432363060
1445,buttonwood-tranche,0xbeb638ce81394bb802e6e58fbff1b7fa52abca6a
1446,buttonwood-tranche,0xe1701235030a76a331bfcdde4669316645be34ec
1447,buttonwood-tranche,0x563cde75c16ba1c0bbaa85ad45ab7cf995fc709b
1448,buttonwood-tranche,0xbf6bd112c6d7d4ec6fe5865fa090ae132c2a5311
1449,buttonwood-tranche,0x9c688dd9ac79bed6ff4976f50f029ef4431a1c2c
1450,buttonwood-tranche,0xf402776f2e3561c73f6b01a18cb161d1430a7de4
1451,buttonwood-tranche,0x5422122766861753587fe191c4016a41808193a8
1452,buttonwood-tranche,0xe8c3cd4f5b31f73c1d2b8eb2b285b9144a1bad35
1453,buttonwood-tranche,0xf7b1729524e34d22eda17e88d7e88db01b732833
1454,buttonwood-tranche,0xad43d0aaa5f143d98513916945d45bf8fbe2cc30
1455,buttonwood-tranche,0xddc961cc4acb5674ae090a9bb646e11ecca0e096
1456,buttonwood-tranche,0x1d560d8f33f4c7ff713c9c4d2f51db7adb3dd4e3
1457,buttonwood-tranche,0xb4ab854a610301f58603f0b334f4c870c087d0e8
1458,buttonwood-tranche,0x40114e1b61edb16113fb57a6550754ce07505d26
1459,buttonwood-tranche,0x3fece706979cd909e17168361c0ef71baa80857c
1460,buttonwood-tranche,0x8417b2f2f64402e4d593902df3695b5c030eaa61
1461,buttonwood-tranche,0x39e3120acc4930d1389754740158b2365db92cb2
1462,buttonwood-tranche,0xf82a2cadc0e0b5c16a789ca67696d88a837e8ca5
1463,buttonwood-tranche,0xc6d6fbd209ce7c323039f4572d5eb88383395627
1464,buttonwood-tranche,0x41748932e8bee7a7467e38b898bcba8572811e6d
1465,buttonwood-tranche,0x64db1c87be44df2431f8934d1419009d8a79c2c9
1466,buttonwood-tranche,0x9d2b73df557c6f9f0fe23c3dbdd27af08621c655
1467,buttonwood-tranche,0xec09400a2c7ee20088d7a048ae191b049e14add5
1468,buttonwood-tranche,0x5d640c9e5840ee730638a965180c0d21774a034e
1469,buttonwood-tranche,0x43796dd70a1abb4d11be3e49c97a6aaf906aeccd
1470,buttonwood-tranche,0x427630eea99e548a68833b3713d0a51e97b947a5
1471,buttonwood-tranche,0x47b5b4d14a86d5b01b9d9e8ba8292af2b74e7ad4
1472,buttonwood-tranche,0x479980c7c4da9b1cc21013beb82cf065ad07b179
1473,buttonwood-tranche,0xac3ee44932685f92fbee755580c5ede665b87f8f
1474,buttonwood-tranche,0x6d7d22e7b65a80348cf996ca050c761a28f256fd
1475,buttonwood-tranche,0x818d6f3bfb3b0d12f730da41db4e9692f3fdef92
1476,buttonwood-tranche,0xfd0e970f5f9f09deeed54a0953bb40d5840e8b34
